,p1,p2,p3,p4,p6,p7
dorothys_voice_RDS7,1,1,1,3,1,1
groaning_sounds_RDS7,4,7,3,2,4,3
growling_RDS7,3,3,3,1,2,1
lf_rumble_RDS7,2,8,4,4,4,3
lion_roar_RDS7,4,3,2,1,2,1
lions_voice_RDS7,1,1,1,3,1,1
scarecrow_shouting_RDS7,4,1,2,3,2,1
scarecrow_unintelligible__voice_RDS7,4,7,2,3,2,1
scarecrows_voice_RDS7,1,1,1,3,1,1
screeching_sound_RDS7,4,7,3,2,4,3
tin_man_falling_RDS7,3,7,2,1,2,2
tin_man_shouting_RDS7,4,1,2,3,2,1
tin_mans_voice_RDS7,1,1,1,3,1,1
tinman_unintelligible_voice__RDS7,4,7,2,3,2,1
computer_fizzling_RDS8,2,3,3,1,2,2
computer_music_-_fanfare_RDS8,2,3,6,1,3,5
explosion_RDS8,7,3,3,1,4,2
female_computer_voice_RDS8,4,3,1,3,2,1
footsteps_RDS8,3,2,2,1,2,2
grunting_RDS8,3,2,2,3,2,2
hissing_RDS8,2,3,3,1,3,2
impact_RDS8,7,2,2,1,2,2
male_computer_voice_RDS8,4,3,1,3,2,1
male_voice_d_RDS8,1,6,1,3,1,1
slowed_down_music_RDS8,2,3,6,1,4,5
synth_pad_RDS8,2,8,4,4,4,4
wind_RDS8,3,8,5,2,3,3
zap_RDS8,3,3,2,1,2,2
accordian_RDS9,6,5,6,1,4,5
bleeping_RDS9,2,7,5,2,3,3
can_opening_RDS9,3,2,2,2,3,2
clinking_of_glasses_RDS9,3,2,2,2,3,2
cork_popping_RDS9,3,2,3,1,2,2
fluttering_synth_sound_RDS9,2,3,3,1,4,4
footsteps_on_metal_staircase_RDS9,3,2,2,1,2,2
footsteps_RDS9,3,2,2,1,2,2
high_frequency_whirring_RDS9,2,7,3,2,4,3
male_voice_a_RDS9,1,1,1,3,1,1
male_voice_b_RDS9,1,1,1,3,1,1
male_voice_c_RDS9,1,1,1,3,1,1
pouring_of_drinks_RDS9,3,2,2,2,3,2
rattling_of_ice_bucket_RDS9,3,2,2,2,2,2
squeaking_RDS9,2,3,3,1,3,3
whooshing_sound_RDS9,2,5,3,1,4,2
